,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
SP,구창모,NC,3.96,7,3,1,0,0,0.75,38 2/3,35,6,11,1,29,17,17,1.19
RP,손주환,NC,12,7,0,0,0,0,0,6,9,2,6,0,9,9,8,2.5
SP,토다,NC,5.29,7,2,4,0,0,0.333,34,35,3,14,1,24,21,20,1.44
RP,김태경,NC,0.87,6,0,0,0,0,0,10 1/3,7,0,4,1,11,1,1,1.06
SP,버하겐,NC,4.68,6,1,1,0,0,0.5,25,23,2,11,1,24,13,13,1.36
RP,목지훈,NC,8.64,5,0,1,0,0,0,8 1/3,12,3,8,1,6,9,8,2.4
SP,신영우,NC,6.43,5,1,1,0,0,0.5,7,2,1,11,1,9,6,5,1.86
RP,하준영,NC,9.82,4,0,0,0,0,0,3 2/3,4,1,3,0,5,4,4,1.91
SP,라일리,NC,4.5,2,1,0,0,0,1,10,7,4,3,0,9,5,5,1
,,,,,,,,,,,,,,,,,
CP,김원중,롯데,5.52,18,0,2,2,2,0,14 2/3,18,1,10,1,7,11,9,1.91
RP,박정민,롯데,3.79,18,2,1,1,5,0.667,19,12,3,13,1,23,8,8,1.32
RP,정철원,롯데,5.54,16,0,2,0,3,0,13,15,2,6,0,11,8,8,1.62
RP,최준용,롯데,3.18,16,1,1,6,1,0.5,17,11,0,9,1,18,6,6,1.18
RP,최이준,롯데,7.3,13,0,1,0,0,0,12 1/3,10,1,11,0,9,11,10,1.7
RP,현도훈,롯데,0.59,12,2,0,0,0,1,15 1/3,9,0,7,0,7,4,1,1.04
SP,쿄야마,롯데,7.59,10,0,1,0,1,0,10 2/3,14,1,9,0,13,10,9,2.16
RP,김진욱,롯데,3.06,8,2,2,0,0,0.5,47,41,4,16,1,41,17,16,1.21
SP,나균안,롯데,2.96,8,1,4,0,0,0.2,45 2/3,45,6,14,2,35,17,15,1.29
SP,로드리게스,롯데,5.11,8,3,2,0,0,0.6,44,45,7,22,3,44,25,25,1.52
SP,비슬리,롯데,3.61,8,4,2,0,0,0.667,42 1/3,50,1,12,2,52,19,17,1.46
RP,정현수,롯데,2.25,8,0,0,0,0,0,4,4,0,2,0,3,1,1,1.5
SP,박세웅,롯데,4.23,7,1,4,0,0,0.2,38 1/3,38,3,18,4,34,23,18,1.46
RP,박준우,롯데,5.14,5,0,0,0,0,0,7,9,0,2,1,5,4,4,1.57
RP,김강현,롯데,3.86,4,0,0,0,0,0,4 2/3,3,0,3,0,5,2,2,1.29
RP,윤성빈,롯데,13.5,4,0,0,0,0,0,3 1/3,4,0,6,0,2,5,5,3
RP,이민석,롯데,21.21,4,0,0,0,0,0,4 2/3,8,1,6,1,4,11,11,3
RP,구승민,롯데,0,3,0,0,0,0,0,2 2/3,2,0,1,0,2,0,0,1.13
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RP,유토,키움,3.18,20,1,1,8,4,0.5,17,20,0,5,0,15,6,6,1.47
RP,김성진,키움,6.19,16,0,1,0,8,0,16,18,0,5,1,12,11,11,1.44
RP,박정훈,키움,3.18,16,2,1,0,6,0.667,22 2/3,20,0,16,1,18,8,8,1.59
RP,원종현,키움,1.72,15,0,0,0,3,0,15 2/3,16,0,2,0,10,5,3,1.15
RP,김재웅,키움,10.67,14,0,1,5,2,0,14 1/3,20,4,7,0,6,17,17,1.88
RP,박진형,키움,4.3,12,1,1,0,2,0.5,14 2/3,14,2,6,1,12,7,7,1.36
RP,오석주,키움,4.3,12,0,1,0,0,0,23,25,0,17,2,18,12,11,1.83
RP,배동현,키움,4.06,9,4,2,0,0,0.667,37 2/3,48,4,11,2,32,17,17,1.57
RP,정다훈,키움,6,9,0,0,0,0,0,9,11,2,7,1,1,6,6,2
SP,알칸타라,키움,3.26,8,3,3,0,0,0.5,49 2/3,60,6,8,0,45,19,18,1.37
SP,전준표,키움,8.53,7,0,0,0,0,0,6 1/3,10,1,8,2,7,6,6,2.84
SP,안우진,키움,2.7,6,1,2,0,0,0.333,20,17,1,5,0,27,7,6,1.1
RP,이준우,키움,10.8,6,0,1,0,0,0,6 2/3,11,0,5,1,6,9,8,2.4
RP,정세영,키움,10.43,6,0,2,0,0,0,14 2/3,24,3,6,1,4,19,17,2.05
SP,조영건,키움,11.25,6,0,0,0,0,0,4,7,1,2,1,5,5,5,2.25
SP,하영민,키움,5.02,6,2,2,0,0,0.5,28 2/3,28,6,18,1,23,19,16,1.6
RP,김서준,키움,3.68,4,0,0,0,0,0,7 1/3,3,1,6,1,7,3,3,1.23
RP,박윤성,키움,7.71,4,0,1,0,1,0,2 1/3,2,0,2,0,1,2,2,1.71
SP,와일스,키움,4.13,4,0,3,0,0,0,24,32,2,2,1,17,12,11,1.42
RP,김동규,키움,27,3,0,0,0,0,0,1 1/3,4,0,2,1,3,4,4,4.5
SP,박준현,키움,2.63,3,1,1,0,0,0.5,13 2/3,12,0,11,0,8,5,4,1.68
